Url,Ip,Holder,Asn
google.com.hk,172.217.22.3,GOOGLE - Google LLC,15169
google.co.in,216.58.210.3,GOOGLE - Google LLC,15169
google.com.br,172.217.18.3,GOOGLE - Google LLC,15169
blogspot.com,172.217.22.73,GOOGLE - Google LLC,15169
google.com,172.217.22.46,GOOGLE - Google LLC,15169
facebook.com,31.13.92.36,FACEBOOK - Facebook,32934
instagram.com,3.213.207.185,AMAZON-AES - Amazon.com,14618
google.de,172.217.22.99,GOOGLE - Google LLC,15169
youtube.com,172.217.16.206,GOOGLE - Google LLC,15169
google.co.jp,172.217.23.131,GOOGLE - Google LLC,15169
google.fr,172.217.16.131,GOOGLE - Google LLC,15169
google.ru,216.58.207.35,GOOGLE - Google LLC,15169
google.cn,172.217.16.195,GOOGLE - Google LLC,15169
booking.com,5.57.16.220,BOOKING-BV - Booking.com BV,43996
github.com,140.82.118.4,GITHUB - GitHub,36459
discordapp.com,162.159.134.233,CLOUDFLARENET - Cloudflare,13335
wordpress.com,192.0.78.9,AUTOMATTIC - Automattic,2635
google.it,172.217.22.67,GOOGLE - Google LLC,15169
google.es,216.58.210.3,GOOGLE - Google LLC,15169
aparat.com,185.147.178.13,SABAIDEA - Fannavaran-e Idea Pardaz-e Saba PJSC,44932
mediafire.com,104.19.195.29,CLOUDFLARENET - Cloudflare,13335
medium.com,104.16.124.127,CLOUDFLARENET - Cloudflare,13335
