Url,Ip,Holder,Asn
google.co.jp,2a00:1450:4001:821::2003,GOOGLE - Google LLC,15169
facebook.com,2a03:2880:f11c:8083:face:b00c:0:25de,FACEBOOK - Facebook,32934
google.it,2a00:1450:4001:817::2003,GOOGLE - Google LLC,15169
google.fr,2a00:1450:4001:817::2003,GOOGLE - Google LLC,15169
google.de,2a00:1450:4001:81f::2003,GOOGLE - Google LLC,15169
google.com.br,2a00:1450:4001:820::2003,GOOGLE - Google LLC,15169
popcash.net,2606:4700:20::6819:b011,CLOUDFLARENET - Cloudflare,13335
viva.co.id,2606:4700::6810:3c32,CLOUDFLARENET - Cloudflare,13335
instagram.com,2406:da00:ff00::12d1:f266,AMAZON-AES - Amazon.com,14618
google.co.in,2a00:1450:4001:80b::2003,GOOGLE - Google LLC,15169
1337x.to,2606:4700:30::681f:1103,CLOUDFLARENET - Cloudflare,13335
google.ru,2a00:1450:4001:81c::2003,GOOGLE - Google LLC,15169
google.es,2a00:1450:4001:808::2003,GOOGLE - Google LLC,15169
google.cl,2a00:1450:4001:821::2003,GOOGLE - Google LLC,15169
google.com.mx,2a00:1450:4001:820::2003,GOOGLE - Google LLC,15169
canva.com,2606:4700::6810:4f16,CLOUDFLARENET - Cloudflare,13335
google.cn,2a00:1450:4001:81a::2003,GOOGLE - Google LLC,15169
youtube.com,2a00:1450:4001:809::200e,GOOGLE - Google LLC,15169
alnaharegypt.com,2606:4700:30::681f:50fe,CLOUDFLARENET - Cloudflare,13335
google.com.sg,2a00:1450:4001:808::2003,GOOGLE - Google LLC,15169
chaturbate.com,2606:4700::6810:93f1,CLOUDFLARENET - Cloudflare,13335
google.ro,2a00:1450:4001:80b::2003,GOOGLE - Google LLC,15169
pelisplus.co,2606:4700:30::681b:a514,CLOUDFLARENET - Cloudflare,13335
google.ch,2a00:1450:4001:814::2003,GOOGLE - Google LLC,15169
messenger.com,2a03:2880:f01c:20e:face:b00c:0:2,FACEBOOK - Facebook,32934
google.ca,2a00:1450:4001:81b::2003,GOOGLE - Google LLC,15169
google.az,2a00:1450:4001:816::2004,GOOGLE - Google LLC,15169
albawabhnews.com,2606:4700:30::681f:4fa7,CLOUDFLARENET - Cloudflare,13335
proxtpb.art,2606:4700:30::6818:7026,CLOUDFLARENET - Cloudflare,13335
narcity.com,2606:4700::6810:324c,CLOUDFLARENET - Cloudflare,13335
google.nl,2a00:1450:4001:81b::2003,GOOGLE - Google LLC,15169
lapatilla.com,2606:4700:30::681b:8745,CLOUDFLARENET - Cloudflare,13335
letmejerk.com,2606:4700:20::6818:1427,CLOUDFLARENET - Cloudflare,13335
gotporn.com,2606:4700:20::681b:3f74,CLOUDFLARENET - Cloudflare,13335
gloyah.net,2606:4700:e4::ac40:ab13,CLOUDFLARENET - Cloudflare,13335
