Asn;Holder;DnsLookupTimer;TimeOfMeasurement;Url;Path;Ip;Port;ConnecitonEstablishmentTime;HttpResponse;Protocol;TcpHandshakeTimeOptional;Error
13335;CLOUDFLARENET - Cloudflare;0.836;1560190264;mediafire.com;;131.159.0.2;443;71.607;301;TCP/TLS1.2;0.377;
13335;CLOUDFLARENET - Cloudflare;0.684;1560190264;mediafire.com;;131.159.0.2;443;47.607;301;TCP/TLS1.3;0.458;
13335;CLOUDFLARENET - Cloudflare;0.645;1560190264;discordapp.com;;131.159.0.2;443;264.731;200;TCP/TLS1.2;0.445;
13335;CLOUDFLARENET - Cloudflare;0.687;1560190264;discordapp.com;;131.159.0.2;443;49.035;200;TCP/TLS1.3;0.332;
13335;CLOUDFLARENET - Cloudflare;0.588;1560190264;gloyah.net;;131.159.0.2;443;69.294;200;TCP/TLS1.2;7.752;
13335;CLOUDFLARENET - Cloudflare;0.677;1560190265;gloyah.net;;131.159.0.2;443;47.425;200;TCP/TLS1.3;0.279;
13335;CLOUDFLARENET - Cloudflare;0.530;1560190265;spankbang.com;;131.159.0.2;443;68.260;302;TCP/TLS1.2;0.308;
13335;CLOUDFLARENET - Cloudflare;0.563;1560190265;spankbang.com;;131.159.0.2;443;44.905;302;TCP/TLS1.3;0.317;
13335;CLOUDFLARENET - Cloudflare;0.560;1560190266;chaturbate.com;;131.159.0.2;443;63.408;200;TCP/TLS1.2;0.398;
13335;CLOUDFLARENET - Cloudflare;0.465;1560190266;chaturbate.com;;131.159.0.2;443;40.224;200;TCP/TLS1.3;0.293;
13335;CLOUDFLARENET - Cloudflare;0.526;1560190267;thepiratebay.org;;131.159.0.2;443;63.608;200;TCP/TLS1.2;0.326;
13335;CLOUDFLARENET - Cloudflare;0.678;1560190268;thepiratebay.org;;131.159.0.2;443;47.162;200;TCP/TLS1.3;0.328;
13335;CLOUDFLARENET - Cloudflare;0.548;1560190268;udemy.com;;131.159.0.2;443;92.715;301;TCP/TLS1.2;8.243;
13335;CLOUDFLARENET - Cloudflare;0.683;1560190268;udemy.com;;131.159.0.2;443;74.030;301;TCP/TLS1.3;0.398;
13335;CLOUDFLARENET - Cloudflare;0.522;1560190269;yts.lt;;131.159.0.2;443;124.163;200;TCP/TLS1.2;7.212;
13335;CLOUDFLARENET - Cloudflare;0.693;1560190270;yts.lt;;131.159.0.2;443;49.830;200;TCP/TLS1.3;0.426;
13335;CLOUDFLARENET - Cloudflare;0.512;1560190270;1337x.to;;131.159.0.2;443;61.848;200;TCP/TLS1.2;0.324;
13335;CLOUDFLARENET - Cloudflare;0.650;1560190270;1337x.to;;131.159.0.2;443;46.144;200;TCP/TLS1.3;0.367;
13335;CLOUDFLARENET - Cloudflare;0.695;1560190270;heroesofrpg.com;;131.159.0.2;443;64.796;200;TCP/TLS1.2;0.301;
13335;CLOUDFLARENET - Cloudflare;0.644;1560190270;heroesofrpg.com;;131.159.0.2;443;38.059;200;TCP/TLS1.3;0.360;
15169;GOOGLE - Google LLC;0.643;1560190270;youtube.com;;131.159.0.2;443;75.017;301;TCP/TLS1.2;0.405;
15169;GOOGLE - Google LLC;0.632;1560190271;youtube.com;;131.159.0.2;443;45.296;301;TCP/TLS1.3;0.374;
15169;GOOGLE - Google LLC;0.662;1560190271;google.com.br;;131.159.0.2;443;81.717;301;TCP/TLS1.2;0.381;
15169;GOOGLE - Google LLC;0.647;1560190271;google.com.br;;131.159.0.2;443;44.084;301;TCP/TLS1.3;0.356;
15169;GOOGLE - Google LLC;0.497;1560190271;google.co.in;;131.159.0.2;443;82.043;301;TCP/TLS1.2;0.338;
15169;GOOGLE - Google LLC;0.792;1560190271;google.co.in;;131.159.0.2;443;43.332;301;TCP/TLS1.3;0.397;
15169;GOOGLE - Google LLC;0.613;1560190271;google.ru;;131.159.0.2;443;89.662;301;TCP/TLS1.2;0.458;
15169;GOOGLE - Google LLC;0.731;1560190271;google.ru;;131.159.0.2;443;43.856;301;TCP/TLS1.3;0.394;
15169;GOOGLE - Google LLC;0.655;1560190271;google.es;;131.159.0.2;443;84.529;301;TCP/TLS1.2;0.865;
15169;GOOGLE - Google LLC;0.584;1560190272;google.es;;131.159.0.2;443;51.605;301;TCP/TLS1.3;7.680;
15169;GOOGLE - Google LLC;0.844;1560190272;blogspot.com;;131.159.0.2;443;84.766;301;TCP/TLS1.2;0.363;
15169;GOOGLE - Google LLC;0.596;1560190272;blogspot.com;;131.159.0.2;443;49.613;301;TCP/TLS1.3;7.124;
15169;GOOGLE - Google LLC;0.811;1560190272;google.co.uk;;131.159.0.2;443;77.071;301;TCP/TLS1.2;0.321;
15169;GOOGLE - Google LLC;1.371;1560190272;google.co.uk;;131.159.0.2;443;44.063;301;TCP/TLS1.3;0.427;
15169;GOOGLE - Google LLC;0.719;1560190272;google.com.hk;;131.159.0.2;443;75.829;301;TCP/TLS1.2;0.375;
15169;GOOGLE - Google LLC;0.714;1560190272;google.com.hk;;131.159.0.2;443;52.960;301;TCP/TLS1.3;6.751;
15169;GOOGLE - Google LLC;0.693;1560190272;google.co.jp;;131.159.0.2;443;71.642;301;TCP/TLS1.2;0.383;
15169;GOOGLE - Google LLC;0.685;1560190273;google.co.jp;;131.159.0.2;443;42.644;301;TCP/TLS1.3;0.388;
15169;GOOGLE - Google LLC;0.523;1560190273;google.it;;131.159.0.2;443;74.083;301;TCP/TLS1.2;0.267;
15169;GOOGLE - Google LLC;0.703;1560190273;google.it;;131.159.0.2;443;44.026;301;TCP/TLS1.3;0.796;
32475;SINGLEHOP-LLC - SingleHop LLC;0.555;1560190273;w.org;;131.159.0.2;443;338.962;301;TCP/TLS1.2;0.317;
32475;SINGLEHOP-LLC - SingleHop LLC;0.728;1560190274;w.org;;131.159.0.2;443;227.997;301;TCP/TLS1.3;0.384;
32475;SINGLEHOP-LLC - SingleHop LLC;0.651;1560190274;wordpress.org;;131.159.0.2;443;337.431;200;TCP/TLS1.2;0.298;
32475;SINGLEHOP-LLC - SingleHop LLC;0.629;1560190275;wordpress.org;;131.159.0.2;443;225.118;200;TCP/TLS1.3;0.381;
32475;SINGLEHOP-LLC - SingleHop LLC;0.610;1560190275;mgarticles.com;;131.159.0.2;443;331.920;301;TCP/TLS1.2;0.488;
32475;SINGLEHOP-LLC - SingleHop LLC;0.653;1560190275;mgarticles.com;;131.159.0.2;443;212.269;301;TCP/TLS1.3;0.450;
32475;SINGLEHOP-LLC - SingleHop LLC;0.583;1560190276;abante.com.ph;;131.159.0.2;443;363.040;301;TCP/TLS1.2;0.407;
32475;SINGLEHOP-LLC - SingleHop LLC;0.684;1560190277;abante.com.ph;;131.159.0.2;443;339.492;301;TCP/TLS1.3;0.434;
32475;SINGLEHOP-LLC - SingleHop LLC;0.569;1560190278;expatwomen.com;;131.159.0.2;443;357.138;200;TCP/TLS1.2;0.445;
32475;SINGLEHOP-LLC - SingleHop LLC;0.613;1560190279;expatwomen.com;;131.159.0.2;443;393.290;200;TCP/TLS1.3;0.334;
32475;SINGLEHOP-LLC - SingleHop LLC;0.568;1560190279;sciencealert.com;;131.159.0.2;443;440.738;301;TCP/TLS1.2;0.328;
32475;SINGLEHOP-LLC - SingleHop LLC;0.637;1560190280;sciencealert.com;;131.159.0.2;443;340.264;301;TCP/TLS1.3;0.353;
32475;SINGLEHOP-LLC - SingleHop LLC;0.625;1560190281;namethatporn.com;;131.159.0.2;443;366.533;200;TCP/TLS1.2;0.392;
32475;SINGLEHOP-LLC - SingleHop LLC;0.543;1560190281;namethatporn.com;;131.159.0.2;443;224.297;200;TCP/TLS1.3;0.297;
32475;SINGLEHOP-LLC - SingleHop LLC;0.586;1560190282;losrios.edu;;131.159.0.2;443;501.420;200;TCP/TLS1.2;0.438;
32475;SINGLEHOP-LLC - SingleHop LLC;0.610;1560190283;losrios.edu;;131.159.0.2;443;329.222;200;TCP/TLS1.3;0.383;
32475;SINGLEHOP-LLC - SingleHop LLC;0.571;1560190284;insightsactivelearn.com;;131.159.0.2;443;441.630;200;TCP/TLS1.2;0.389;
32475;SINGLEHOP-LLC - SingleHop LLC;0.548;1560190285;insightsactivelearn.com;;131.159.0.2;443;341.256;200;TCP/TLS1.3;0.411;
32475;SINGLEHOP-LLC - SingleHop LLC;0.534;1560190286;weliveentertainment.com;;131.159.0.2;443;542.474;200;TCP/TLS1.2;0.386;
32475;SINGLEHOP-LLC - SingleHop LLC;0.598;1560190287;weliveentertainment.com;;131.159.0.2;443;365.678;200;TCP/TLS1.3;0.351;
2635;AUTOMATTIC - Automattic;0.621;1560190288;wordpress.com;;131.159.0.2;443;57.252;200;TCP/TLS1.2;0.309;
2635;AUTOMATTIC - Automattic;0.593;1560190288;wordpress.com;;131.159.0.2;443;38.775;200;TCP/TLS1.3;0.345;
2635;AUTOMATTIC - Automattic;0.538;1560190289;decider.com;;131.159.0.2;443;101.717;200;TCP/TLS1.2;0.382;
2635;AUTOMATTIC - Automattic;0.545;1560190290;decider.com;;131.159.0.2;443;38.141;200;TCP/TLS1.3;0.417;
2635;AUTOMATTIC - Automattic;0.547;1560190290;home.blog;;131.159.0.2;443;57.941;200;TCP/TLS1.2;0.418;
2635;AUTOMATTIC - Automattic;0.543;1560190291;home.blog;;131.159.0.2;443;37.805;200;TCP/TLS1.3;0.560;
2635;AUTOMATTIC - Automattic;0.488;1560190291;pagesix.com;;131.159.0.2;443;62.082;200;TCP/TLS1.2;0.337;
2635;AUTOMATTIC - Automattic;0.595;1560190292;pagesix.com;;131.159.0.2;443;38.434;200;TCP/TLS1.3;0.401;
2635;AUTOMATTIC - Automattic;3.725;1560190293;usmagazine.com;;131.159.0.2;443;270.999;302;TCP/TLS1.2;0.506;
2635;AUTOMATTIC - Automattic;0.322;1560190293;usmagazine.com;;131.159.0.2;443;33.519;302;TCP/TLS1.3;0.296;
2635;AUTOMATTIC - Automattic;0.522;1560190293;files.wordpress.com;;131.159.0.2;443;59.913;301;TCP/TLS1.2;0.342;
2635;AUTOMATTIC - Automattic;0.678;1560190293;files.wordpress.com;;131.159.0.2;443;46.879;301;TCP/TLS1.3;7.120;
2635;AUTOMATTIC - Automattic;0.588;1560190293;penademo.wordpress.com;;131.159.0.2;443;57.654;200;TCP/TLS1.2;0.525;
2635;AUTOMATTIC - Automattic;0.679;1560190294;penademo.wordpress.com;;131.159.0.2;443;41.521;200;TCP/TLS1.3;0.424;
2635;AUTOMATTIC - Automattic;0.525;1560190295;dilei.it;;131.159.0.2;443;81.755;200;TCP/TLS1.2;0.309;
2635;AUTOMATTIC - Automattic;0.572;1560190295;dilei.it;;131.159.0.2;443;39.058;200;TCP/TLS1.3;0.606;
2635;AUTOMATTIC - Automattic;0.545;1560190295;mensjournal.com;;131.159.0.2;443;91.088;302;TCP/TLS1.2;0.391;
2635;AUTOMATTIC - Automattic;0.588;1560190295;mensjournal.com;;131.159.0.2;443;38.288;302;TCP/TLS1.3;0.348;
2635;AUTOMATTIC - Automattic;0.574;1560190296;href.li;;131.159.0.2;443;87.608;200;TCP/TLS1.2;0.548;
2635;AUTOMATTIC - Automattic;0.571;1560190296;href.li;;131.159.0.2;443;38.494;200;TCP/TLS1.3;0.301;
53831;SQUARESPACE - Squarespace;0.474;1560190297;bibliocommons.com;;131.159.0.2;443;426.495;400;TCP/TLS1.2;0.353;
53831;SQUARESPACE - Squarespace;0.513;1560190298;bibliocommons.com;;131.159.0.2;443;344.735;400;TCP/TLS1.3;0.437;
53831;SQUARESPACE - Squarespace;0.648;1560190298;squarespace.com;;131.159.0.2;443;454.857;301;TCP/TLS1.2;0.408;
53831;SQUARESPACE - Squarespace;0.647;1560190299;squarespace.com;;131.159.0.2;443;331.728;301;TCP/TLS1.3;0.381;
53831;SQUARESPACE - Squarespace;0.573;1560190300;troversavestheuniverse.com;;131.159.0.2;443;471.261;400;TCP/TLS1.2;0.441;
53831;SQUARESPACE - Squarespace;0.607;1560190301;troversavestheuniverse.com;;131.159.0.2;443;281.567;400;TCP/TLS1.3;0.342;
53831;SQUARESPACE - Squarespace;0.589;1560190302;wickedwhimsmod.com;;131.159.0.2;443;417.406;400;TCP/TLS1.2;0.417;
53831;SQUARESPACE - Squarespace;0.595;1560190303;wickedwhimsmod.com;;131.159.0.2;443;277.319;400;TCP/TLS1.3;0.337;
53831;SQUARESPACE - Squarespace;0.552;1560190304;esportstales.com;;131.159.0.2;443;619.143;400;TCP/TLS1.2;0.346;
53831;SQUARESPACE - Squarespace;0.571;1560190305;esportstales.com;;131.159.0.2;443;286.902;400;TCP/TLS1.3;0.357;
53831;SQUARESPACE - Squarespace;0.593;1560190306;account.squarespace.com;;131.159.0.2;443;421.904;400;TCP/TLS1.2;0.447;
53831;SQUARESPACE - Squarespace;0.510;1560190307;account.squarespace.com;;131.159.0.2;443;339.417;400;TCP/TLS1.3;0.398;
53831;SQUARESPACE - Squarespace;0.553;1560190308;login.squarespace.com;;131.159.0.2;443;417.855;400;TCP/TLS1.2;0.372;
