Asn;Holder;DnsLookupTimer;TimeOfMeasurement;Url;Path;Ip;Port;ConnectionEstablishmentTime;HttpResponse;Protocol;TcpHandshakeTimeOptional;Error
13335;CLOUDFLARENET - Cloudflare;31.455;1562348781;sarkariresult.com;;104.24.22.110;443;55.230;301;TCP/TLS1.2;9.722;
13335;CLOUDFLARENET - Cloudflare;0.613;1562348782;sarkariresult.com;;104.24.22.110;443;70.221;301;TCP/TLS1.3;17.284;
13335;CLOUDFLARENET - Cloudflare;27.021;1562348782;gloyah.net;;172.64.197.10;443;49.382;200;TCP/TLS1.2;9.479;
13335;CLOUDFLARENET - Cloudflare;0.463;1562348782;gloyah.net;;172.64.197.10;443;45.263;200;TCP/TLS1.3;9.531;
13335;CLOUDFLARENET - Cloudflare;26.808;1562348782;chouftv.ma;;104.20.10.75;443;57.710;200;TCP/TLS1.2;9.549;
13335;CLOUDFLARENET - Cloudflare;0.475;1562348782;chouftv.ma;;104.20.10.75;443;43.293;200;TCP/TLS1.3;9.450;
13335;CLOUDFLARENET - Cloudflare;31.499;1562348783;medium.com;;104.16.120.127;443;51.317;200;TCP/TLS1.2;9.777;
13335;CLOUDFLARENET - Cloudflare;0.525;1562348783;medium.com;;104.16.120.127;443;43.768;200;TCP/TLS1.3;9.470;
13335;CLOUDFLARENET - Cloudflare;35.381;1562348783;hdfcbank.com;;104.18.94.72;443;62.581;503;TCP/TLS1.2;9.441;
13335;CLOUDFLARENET - Cloudflare;0.446;1562348783;hdfcbank.com;;104.18.94.72;443;49.481;503;TCP/TLS1.3;9.454;
13335;CLOUDFLARENET - Cloudflare;4.111;1562348784;discordapp.com;;162.159.129.233;443;47.235;200;TCP/TLS1.2;9.445;
13335;CLOUDFLARENET - Cloudflare;0.460;1562348784;discordapp.com;;162.159.129.233;443;48.633;200;TCP/TLS1.3;9.457;
13335;CLOUDFLARENET - Cloudflare;27.579;1562348784;sciencedirect.com;;162.159.129.81;443;50.426;301;TCP/TLS1.2;9.556;
13335;CLOUDFLARENET - Cloudflare;0.426;1562348784;sciencedirect.com;;162.159.129.81;443;42.794;301;TCP/TLS1.3;9.490;
13335;CLOUDFLARENET - Cloudflare;34.148;1562348784;udemy.com;;104.16.92.52;443;65.844;301;TCP/TLS1.2;9.536;
13335;CLOUDFLARENET - Cloudflare;0.597;1562348784;udemy.com;;104.16.92.52;443;44.001;301;TCP/TLS1.3;9.520;
13335;CLOUDFLARENET - Cloudflare;26.912;1562348784;mediafire.com;;104.19.195.29;443;51.863;301;TCP/TLS1.2;9.607;
13335;CLOUDFLARENET - Cloudflare;0.454;1562348784;mediafire.com;;104.19.195.29;443;49.397;301;TCP/TLS1.3;11.907;
13335;CLOUDFLARENET - Cloudflare;27.093;1562348785;spankbang.com;;104.20.41.98;443;51.973;302;TCP/TLS1.2;9.544;
13335;CLOUDFLARENET - Cloudflare;0.629;1562348785;spankbang.com;;104.20.41.98;443;45.718;302;TCP/TLS1.3;9.574;
15169;GOOGLE - Google LLC;38.482;1562348785;google.it;;172.217.18.99;443;54.305;301;TCP/TLS1.2;9.285;
15169;GOOGLE - Google LLC;0.513;1562348785;google.it;;172.217.18.99;443;43.195;301;TCP/TLS1.3;9.323;
15169;GOOGLE - Google LLC;350.228;1562348786;google.com.hk;;172.217.23.163;443;55.324;301;TCP/TLS1.2;9.618;
15169;GOOGLE - Google LLC;0.532;1562348786;google.com.hk;;172.217.23.163;443;44.125;301;TCP/TLS1.3;9.559;
15169;GOOGLE - Google LLC;41.016;1562348786;blogspot.com;;172.217.16.201;443;50.651;301;TCP/TLS1.2;9.334;
15169;GOOGLE - Google LLC;0.533;1562348786;blogspot.com;;172.217.16.201;443;43.394;301;TCP/TLS1.3;9.304;
15169;GOOGLE - Google LLC;38.409;1562348786;google.co.jp;;216.58.207.35;443;54.394;301;TCP/TLS1.2;9.323;
15169;GOOGLE - Google LLC;0.486;1562348786;google.co.jp;;216.58.207.35;443;39.648;301;TCP/TLS1.3;9.104;
15169;GOOGLE - Google LLC;37.556;1562348786;google.cn;;172.217.16.131;443;53.768;302;TCP/TLS1.2;9.602;
15169;GOOGLE - Google LLC;0.566;1562348786;google.cn;;172.217.16.131;443;42.646;302;TCP/TLS1.3;9.473;
15169;GOOGLE - Google LLC;49.302;1562348787;google.com.au;;172.217.22.35;443;53.715;301;TCP/TLS1.2;9.555;
